,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
166,85.60713922977448,4.941656521952143,0.2407013177871704,0.025770113691742154,entropy,60,16,0.8968743000652876,0.8977511544455088,0.8978321681654204,0.8985994157481141,0.8977642596060827,0.0006112072241658356,1,1.0,1.0,1.0,1.0,1.0,0.0
237,72.70457547903061,1.9467069177092389,0.2195676565170288,0.034038614997843004,entropy,110,14,0.8971221067379588,0.8971935894319986,0.8985755881834341,0.8979465404758841,0.8977094562073189,0.0005952922558473465,2,1.0,1.0,1.0,1.0,1.0,0.0
141,73.9424085021019,1.4989202771283898,0.19187188148498535,0.012480297476347872,entropy,45,14,0.8972984307165902,0.8972936652036542,0.8980752093251557,0.8978845888077163,0.8976379735132791,0.00034850817117315505,3,0.999968229812826,1.0,0.9999555217379563,0.9998363835360536,0.999940033771709,6.199639852444491e-05
205,75.86615258455276,1.6547566455219298,0.2165166735649109,0.021107492590640535,entropy,85,14,0.897060155069791,0.8973174927683342,0.8981085679157076,0.8978416991912924,0.8975819787362813,0.0004144284150460642,4,1.0,1.0,1.0,1.0,1.0,0.0
223,98.90223842859268,0.4090971677192574,0.20978504419326782,0.02068839734408462,entropy,95,18,0.897041093018047,0.8974938167469656,0.8967837553195038,0.8984564503600345,0.8974437788611377,0.0006375331988282315,5,1.0,1.0,1.0,1.0,1.0,0.0
143,95.67945945262909,1.075356030315219,0.22601640224456787,0.04164641006930017,entropy,45,18,0.8966884450607842,0.8977559199584447,0.896731334677208,0.8984278572824186,0.8974008892447138,0.0007308539854585452,6,0.9999952344719238,0.9999968229812826,0.9999602872660325,0.9999539332285976,0.9999765694869591,1.959653417671402e-05
151,93.61750519275665,3.4428680453405938,0.236619234085083,0.07184096937720086,entropy,50,18,0.8969696103240072,0.8975033477728376,0.8967456312160159,0.8983325470236989,0.8973877840841399,0.000610974954031045,7,1.0,1.0,1.0,1.0,1.0,0.0
165,74.7099232673645,0.38004081608460927,0.19495820999145508,0.009869405486983373,entropy,60,14,0.8975510029021974,0.8976129545703652,0.8972078859708065,0.8971745273802546,0.8973865927059059,0.00019696332516458233,8,1.0,1.0,1.0,1.0,1.0,0.0
167,97.41487061977386,3.9397851451548522,0.22495299577713013,0.028436230899171487,entropy,60,18,0.897327023794206,0.8978035750878046,0.8966884450607842,0.8977177958549568,0.8973842099494379,0.00044003003087055557,9,1.0,1.0,1.0,1.0,1.0,0.0
213,69.13485461473465,1.3839691208876523,0.18189799785614014,0.0077985408398276385,entropy,90,14,0.897360382384758,0.8969457827593273,0.8982229402261712,0.8969743758369432,0.8973758703017999,0.0005157374409157717,10,1.0,1.0,1.0,1.0,1.0,0.0
174,85.9212434887886,2.3577694483618123,0.20775830745697021,0.008900350811735841,entropy,65,16,0.8971173412250227,0.8972269480225504,0.8976510786738531,0.8974556926434777,0.8973627651412259,0.000206421536025509,11,1.0,1.0,1.0,1.0,1.0,0.0
158,86.2362853884697,1.4642951161199,0.22182875871658325,0.022332279142202826,entropy,55,16,0.8961070524825939,0.8984373883082906,0.8977368579067008,0.8971411687897026,0.897355616871822,0.000854469891425065,12,1.0,1.0,1.0,1.0,1.0,0.0
207,97.54337108135223,5.876387251833865,0.21286076307296753,0.024219087338092835,entropy,85,18,0.8971649963543826,0.8974604581564136,0.896712272625464,0.8979703680405641,0.897327023794206,0.00045712920467442885,13,1.0,1.0,1.0,1.0,1.0,0.0
220,65.54727739095688,1.5018567606039297,0.20067709684371948,0.003969502235649199,entropy,95,12,0.8960784594049781,0.8977606854713807,0.8974318650787978,0.8978178716266125,0.8972722203954423,0.0007047845634956115,14,1.0,1.0,1.0,1.0,1.0,0.0
175,98.10659140348434,4.46865022893968,0.2402411699295044,0.03776769045820625,entropy,65,18,0.8966312589055523,0.8974128030270538,0.8965168865950887,0.8984802779247144,0.8972603066131023,0.0007842129014148491,15,1.0,1.0,1.0,1.0,1.0,0.0
159,94.7634865641594,2.754209674314286,0.2074485421180725,0.046927663596496,entropy,55,18,0.8967646932677599,0.8974747546952216,0.8968552380135436,0.8979084163723963,0.8972507755872303,0.0004678098001939501,16,1.0,1.0,1.0,1.0,1.0,0.0
183,99.54872506856918,2.6665981075028076,0.2365264892578125,0.00642188512566599,entropy,70,18,0.8969743758369432,0.8976272511091732,0.8963119695388413,0.8979608370146921,0.8972186083749124,0.0006323637698446617,17,1.0,1.0,1.0,1.0,1.0,0.0
155,54.076207637786865,1.1790123772774623,0.21582764387130737,0.03955832190973218,entropy,55,10,0.8971125757120868,0.8974080375141178,0.8968457069876716,0.8974652236693497,0.8972078859708065,0.0002482644721981026,18,1.0,1.0,1.0,1.0,1.0,0.0
236,62.48928862810135,3.2803659458830796,0.19743120670318604,0.03084117276780529,entropy,110,12,0.8961499420990179,0.8981991126614913,0.8968218794229917,0.897646313160917,0.8972043118361045,0.000781495992697611,19,1.0,1.0,1.0,1.0,1.0,0.0
206,88.9093810915947,2.748308013239324,0.221962571144104,0.026578402801364316,entropy,85,16,0.8964501694139849,0.8973174927683342,0.8965836037761925,0.8984469193341625,0.8971995463231685,0.0007922754832879104,20,1.0,1.0,1.0,1.0,1.0,0.0
197,73.51767015457153,2.3325021801063603,0.1947905421257019,0.014165082574590126,entropy,80,14,0.8963786867199451,0.8978321681654204,0.8972031204578704,0.897350851358886,0.8971912066755305,0.000523604973448425,21,1.0,1.0,1.0,1.0,1.0,0.0
191,102.89502161741257,3.3037893582101203,0.2891536355018616,0.06732370880315029,entropy,75,18,0.8967646932677599,0.8975986580315573,0.8963310315905852,0.8980418507346039,0.8971840584061266,0.0006729083138718877,22,1.0,1.0,1.0,1.0,1.0,0.0
188,65.57139647006989,1.5069570922474582,0.24603676795959473,0.010045960802894672,entropy,75,12,0.8969648448110712,0.8966836795478481,0.8973937409753099,0.897679671751469,0.8971804842714246,0.0003833998800907884,23,1.0,1.0,1.0,1.0,1.0,0.0
156,66.258613884449,2.5036260012732505,0.24421906471252441,0.03469289388128872,entropy,55,12,0.8964930590304088,0.8972603066131023,0.8978226371395485,0.8971316377638308,0.8971769101367225,0.00047265744937664204,24,1.0,1.0,1.0,1.0,1.0,0.0
171,53.95628732442856,1.9089963908519598,0.23124349117279053,0.05044042184595795,entropy,65,10,0.8963691556940732,0.897060155069791,0.897646313160917,0.8976272511091732,0.8971757187584886,0.0005218331865491943,25,1.0,1.0,1.0,1.0,1.0,0.0
198,84.2483258843422,2.0115262526441677,0.22274285554885864,0.03269454292693745,entropy,80,16,0.8960308042756182,0.8971792928931905,0.8977130303420209,0.8977225613678929,0.8971614222196806,0.0006887969513390199,26,1.0,1.0,1.0,1.0,1.0,0.0
180,65.39523804187775,0.7890463040865318,0.2349490523338318,0.022936836656633496,entropy,70,12,0.8957067493959713,0.8975986580315573,0.8973889754623738,0.8978893543206523,0.8971459343026387,0.0008496991083339423,27,1.0,1.0,1.0,1.0,1.0,0.0
239,99.46266633272171,1.5430368834173862,0.222417414188385,0.02689990887454931,entropy,110,18,0.8965121210821527,0.8974413961046698,0.8965407141597685,0.8980895058639636,0.8971459343026387,0.0006606125164571122,27,1.0,1.0,1.0,1.0,1.0,0.0
6,54.15275448560715,0.8317516755237331,0.1661795973777771,0.0323258977986304,gini,30,16,0.8968028173712478,0.896092755943786,0.8981085679157076,0.8974938167469656,0.8971244894944267,0.0007537837941092081,29,0.9953567871445115,0.9951343958342931,0.9950962716096842,0.9945450588622143,0.9950331283626758,0.00029883482678169166
135,95.79586374759674,4.083738983647288,0.17680764198303223,0.02256869702756699,entropy,40,18,0.8965788382632565,0.8973127272553981,0.896721803651336,0.8978369336783565,0.8971125757120868,0.000500583052883232,30,0.9998856273261734,0.9999237515507823,0.9998586226670755,0.9998347950266949,0.9998756991426815,3.30618945142987e-05
196,63.266973197460175,1.6178574802311145,0.19621312618255615,0.013184698492123724,entropy,80,12,0.8968266449359277,0.89674086570308,0.8969028931429034,0.897956071501756,0.8971066188209168,0.0004937698675370608,31,1.0,1.0,1.0,1.0,1.0,0.0
212,66.37577188014984,1.0671698534434415,0.22679877281188965,0.03554103556089358,entropy,90,12,0.896726569164272,0.8972317135354864,0.8978321681654204,0.8965788382632565,0.8970923222821089,0.0004909793868879503,32,1.0,1.0,1.0,1.0,1.0,0.0
173,75.74922811985016,1.9083036026253042,0.20691221952438354,0.0131243985430677,entropy,65,14,0.8971125757120868,0.8971935894319986,0.8975652994410054,0.8964549349269209,0.8970815998780028,0.00040005480582815,33,1.0,1.0,1.0,1.0,1.0,0.0
222,86.17917966842651,2.0607418232890153,0.23732125759124756,0.03865833737245726,entropy,95,16,0.8972174169966785,0.8972078859708065,0.8969410172463913,0.8969553137851992,0.8970804084997689,0.00013238244122522284,34,1.0,1.0,1.0,1.0,1.0,0.0
235,52.757188856601715,0.9493267498571772,0.18584060668945312,0.0178981929581354,entropy,110,10,0.8969696103240072,0.8959783836333224,0.897965602527628,0.8973842099494379,0.8970744516085989,0.0007249925674769675,35,1.0,1.0,1.0,1.0,1.0,0.0
204,66.35439294576645,0.8035964750540197,0.19642239809036255,0.008724514328495194,entropy,85,12,0.8959069009392826,0.8966217278796803,0.897984664579372,0.8977606854713807,0.8970684947174289,0.0008466693523048387,36,1.0,1.0,1.0,1.0,1.0,0.0
228,66.42813903093338,1.3592825107790047,0.21343278884887695,0.013191996356612183,entropy,100,12,0.8959021354263467,0.8974938167469656,0.8975700649539413,0.8972650721260382,0.897057772313323,0.0006765811711528963,37,1.0,1.0,1.0,1.0,1.0,0.0
164,65.17779010534286,2.1428909310689646,0.19579124450683594,0.02861758329733396,entropy,60,12,0.8968028173712478,0.8959021354263467,0.8973746789235659,0.8981276299674515,0.897051815422153,0.0008132315012547742,38,1.0,1.0,1.0,1.0,1.0,0.0
231,94.89338833093643,1.9611343406231796,0.1977408528327942,0.006412398823509925,entropy,100,18,0.8963405626164572,0.8972650721260382,0.8963977487716891,0.8981943471485553,0.8970494326656849,0.0007557311351157588,39,1.0,1.0,1.0,1.0,1.0,0.0
182,85.10274159908295,0.8970077861479644,0.19524049758911133,0.005726179301426534,entropy,70,16,0.895782997602947,0.8974509271305416,0.8972841341777822,0.8976510786738531,0.897042284396281,0.0007385651463050047,40,1.0,1.0,1.0,1.0,1.0,0.0
229,74.26530641317368,2.714780682693553,0.20000994205474854,0.026902975146435863,entropy,100,14,0.8974461616176057,0.8970029689145591,0.8968504725006076,0.8968075828841837,0.897026796479239,0.000252774414158842,41,1.0,1.0,1.0,1.0,1.0,0.0
203,54.84554374217987,2.9159031459249447,0.2487054467201233,0.07203834089371795,entropy,85,10,0.8965979003150004,0.8961261145343379,0.8969314862205193,0.8984373883082906,0.897023222344537,0.0008651563646847613,42,1.0,1.0,1.0,1.0,1.0,0.0
238,85.02023255825043,1.6509908760841954,0.20903903245925903,0.013803077729758436,entropy,110,16,0.8960593973532341,0.8978845888077163,0.8971316377638308,0.8969696103240072,0.8970113085621971,0.0006490322019740746,43,1.0,1.0,1.0,1.0,1.0,0.0
127,92.58980375528336,0.8683259131365733,0.1881079077720642,0.013146298845967658,entropy,30,18,0.8967932863453758,0.8973985064882458,0.8962786109482894,0.8975605339280693,0.8970077344274952,0.0005088956472480688,44,0.9972423477532918,0.9974345573856949,0.9960096644909383,0.9965577002196908,0.9968110674624039,0.0005659470063768409
221,74.65485310554504,1.2199255393754835,0.20537519454956055,0.02051919756674149,entropy,95,14,0.8964597004398569,0.8961308800472739,0.8974985822599015,0.8979370094500122,0.8970065430492611,0.0007371724425539045,45,1.0,1.0,1.0,1.0,1.0,0.0
157,75.71710854768753,2.400516842906557,0.1950453519821167,0.005885306853406216,entropy,55,14,0.8959497905557064,0.8962690799224174,0.8974366305917337,0.8983659056142508,0.8970053516710271,0.0009609128336957887,46,1.0,1.0,1.0,1.0,1.0,0.0
170,39.27797317504883,1.4691008478921148,0.22061824798583984,0.02225744951475496,entropy,65,7,0.8967837553195038,0.8953683979775163,0.8974699891822856,0.8983182504848909,0.8969850982410492,0.0010801241646585056,47,1.0,1.0,1.0,1.0,1.0,0.0
199,94.8893730044365,2.4282748806564918,0.24197673797607422,0.06587507782963946,entropy,80,18,0.8970077344274952,0.8972269480225504,0.8958115906805629,0.8978559957301004,0.8969755672151772,0.0007406454588543893,48,1.0,1.0,1.0,1.0,1.0,0.0
148,60.213731825351715,1.133425778353072,0.17962247133255005,0.004301322342931962,entropy,50,12,0.8965740727503205,0.8973317893071421,0.8972221825096144,0.896712272625464,0.8969600792981353,0.00032298437510185643,49,1.0,0.9999078664571952,1.0,1.0,0.9999769666142988,3.989499430480688e-05
219,54.726120829582214,2.7669742517385703,0.1915661096572876,0.005972216642064484,entropy,95,10,0.8962833764612254,0.8969743758369432,0.897060155069791,0.8974747546952216,0.8969481655157953,0.0004279220992493069,50,1.0,1.0,1.0,1.0,1.0,0.0
215,92.93953758478165,2.5409820421051923,0.19295185804367065,0.019022926680251157,entropy,90,18,0.8966550864702322,0.8972746031519102,0.8963453281293932,0.8974938167469656,0.8969422086246253,0.00046191533302453403,51,1.0,1.0,1.0,1.0,1.0,0.0
150,81.39420211315155,2.0543958407946086,0.17649447917938232,0.011559051304806861,entropy,50,16,0.8967456312160159,0.8973317893071421,0.8972031204578704,0.8964787624916007,0.8969398258681573,0.0003439659789118053,52,0.9999920574532065,0.9999968229812826,1.0,1.0,0.9999972201086222,3.250627370589241e-06
132,61.60264700651169,3.2842315141437366,0.176152765750885,0.025938870539794046,entropy,40,12,0.8964168108234329,0.8964835280045368,0.8973222582812701,0.8975081132857735,0.8969326775987534,0.0004875328773403294,53,0.9999269285694997,0.9998093788769556,0.9995949301135307,0.9998760962700212,0.9998018334575018,0.0001265204326089288
147,58.03359007835388,3.230636119807352,0.23677104711532593,0.040655143306037915,entropy,50,10,0.8968743000652876,0.8970553895568549,0.8972364790484224,0.8965454796727046,0.8969279120858173,0.00025524149122839614,54,1.0,1.0,1.0,0.9999872919251304,0.9999968229812826,5.5027578351507495e-06
140,64.18223005533218,1.9625617641229318,0.19571304321289062,0.022223892167360926,entropy,45,12,0.8958258872193708,0.8976177200833012,0.8977940440619326,0.8964644659527928,0.8969255293293493,0.0008147450656202748,55,0.9998919813636082,0.9999984114906413,0.9999618757753911,0.9999936459625652,0.9999614786480514,4.2511178647205393e-05
134,81.15173262357712,2.014256293630915,0.171281099319458,0.013202953189356341,entropy,40,16,0.8958449492711148,0.8975938925186212,0.897679671751469,0.8965645417244485,0.8969207638164134,0.0007604792269198065,56,0.9998316180079775,0.9999936459625652,0.9998189099331078,0.9999364596256519,0.9998951583823257,7.289856195798634e-05
189,77.337575674057,0.968217151160867,0.2284567952156067,0.03099889359966664,entropy,75,14,0.8964930590304088,0.8971221067379588,0.897017265453367,0.8969124241687754,0.8968862138476275,0.00023878738990612588,57,1.0,1.0,1.0,1.0,1.0,0.0
190,89.10086208581924,2.2458808000623836,0.2444583773612976,0.029822217728393385,entropy,75,16,0.8971459343026387,0.8970982791732788,0.8963977487716891,0.8968743000652876,0.8968790655782235,0.00029621026935863456,58,1.0,1.0,1.0,1.0,1.0,0.0
195,52.87181144952774,1.2283118383854428,0.194807767868042,0.006882465667761715,entropy,80,10,0.8962833764612254,0.8968028173712478,0.897989430092308,0.8962881419741614,0.8968409414747356,0.0006958709621916152,59,1.0,1.0,1.0,1.0,1.0,0.0
234,38.22143864631653,0.9720920467420217,0.18436408042907715,0.008849362468576275,entropy,110,7,0.896083224917914,0.8974985822599015,0.897041093018047,0.8966312589055523,0.8968135397753537,0.0005214522486259873,60,1.0,1.0,1.0,1.0,1.0,0.0
7,59.461924612522125,2.486401023759087,0.15480059385299683,0.015034113113330281,gini,30,18,0.8968647690394156,0.8962166592801216,0.8965550106985766,0.8976034235444932,0.8968099656406517,0.0005122483083472747,61,0.9944894610346597,0.9945196427124751,0.9949818989358575,0.9951709315495432,0.9947904835581338,0.00029383236901011115
149,70.39049792289734,1.1146952001927082,0.17381036281585693,0.006786152530264907,entropy,50,14,0.8960451008144261,0.8969219551946473,0.8974604581564136,0.89674086570308,0.8967920949671417,0.0005060132738251841,62,1.0,1.0,0.9999761723596194,0.9999984114906413,0.9999936459625651,1.0109211655658514e-05
230,83.05289316177368,2.384545215983712,0.1975995898246765,0.012984532911385913,entropy,100,16,0.8969267207075834,0.8963691556940732,0.8964406383881129,0.897360382384758,0.8967742242936318,0.00040068584663363664,63,1.0,1.0,1.0,1.0,1.0,0.0
125,77.11176925897598,3.7798229227279845,0.22300225496292114,0.0304499270679767,entropy,30,14,0.8964454039010489,0.8978321681654204,0.8962261903059936,0.8965883692891284,0.8967730329153979,0.0006249491465732867,64,0.9967038430806915,0.9970072483682038,0.9962066396514175,0.9966148865566041,0.9966331544142293,0.00028600337912559486
179,55.868633568286896,2.2606410195900657,0.19585520029067993,0.011187681543296224,entropy,70,10,0.8956114391372515,0.8975986580315573,0.8971554653285106,0.896707507112528,0.8967682674024618,0.0007384805818111241,65,1.0,1.0,1.0,1.0,1.0,0.0
142,84.0667542219162,0.9656988601103611,0.19925403594970703,0.0019692205741912994,entropy,45,16,0.8968504725006076,0.8968409414747356,0.896392983258753,0.8969886723757512,0.8967682674024618,0.00022441910553243802,65,1.0,0.9999952344719238,1.0,0.9999952344719238,0.9999976172359619,2.3827640380780224e-06
163,55.2049800157547,1.690869286872958,0.21815532445907593,0.025799702693526955,entropy,60,10,0.8961165835084659,0.8971078101991508,0.8976129545703652,0.8962261903059936,0.8967658846459938,0.0006219530706772562,67,1.0,1.0,1.0,1.0,1.0,0.0
187,57.082732796669006,1.9204103993428956,0.26372474431991577,0.052098478761363066,entropy,75,10,0.8967361001901439,0.8964358728751769,0.8969839068628152,0.8968885966040955,0.8967611191330579,0.00020754273892541604,68,1.0,1.0,1.0,1.0,1.0,0.0
5,42.89986830949783,3.2916219290748363,0.16048473119735718,0.02218810224645059,gini,30,14,0.8965788382632565,0.8965025900562807,0.8972841341777822,0.8964978245433447,0.896715846760166,0.0003296718163666573,69,0.9946340153863017,0.9944068585480071,0.9948166939625525,0.9947785697379437,0.9946590344087013,0.00016075124109652568
194,37.29921793937683,1.4119438666722628,0.18944531679153442,0.004052644230159877,entropy,80,7,0.8969267207075834,0.8967694587806958,0.8963453281293932,0.8967599277548239,0.896700358843124,0.00021541225475080577,70,1.0,1.0,1.0,1.0,1.0,0.0
181,75.17313784360886,1.8469975209476932,0.21100682020187378,0.024226026253521712,entropy,70,14,0.8959974456850663,0.8962738454353535,0.8966264933926164,0.8978131061136766,0.8966777226566781,0.0006923896301816483,71,1.0,1.0,1.0,1.0,1.0,0.0
214,83.22954380512238,1.0955717405715257,0.21440863609313965,0.026263529380213174,entropy,90,16,0.8958973699134106,0.8974604581564136,0.8963500936423292,0.8969839068628152,0.8966729571437422,0.000596369005974515,72,1.0,1.0,1.0,1.0,1.0,0.0
210,37.94505989551544,0.8917436236042124,0.2041531801223755,0.017739824422111944,entropy,90,7,0.8958306527323069,0.8975605339280693,0.8968075828841837,0.8962881419741614,0.8966217278796803,0.0006428410231821582,73,1.0,1.0,1.0,1.0,1.0,0.0
172,64.3272425532341,2.5962595927779035,0.19994765520095825,0.019100639124839943,entropy,65,12,0.8962357213318656,0.8958306527323069,0.8969219551946473,0.8974461616176057,0.8966086227191064,0.0006212771908928854,74,1.0,1.0,1.0,1.0,1.0,0.0
131,49.46978014707565,0.5124546450394378,0.1689339280128479,0.011222498235980757,entropy,40,10,0.8958354182452428,0.8966836795478481,0.8969457827593273,0.8968600035264795,0.8965812210197245,0.00044083570535538195,75,0.9997664891242707,0.9999110434759126,0.9998681537232277,0.9997982593114447,0.9998359864087139,5.6836400908317214e-05
126,89.82707744836807,3.146964997356393,0.2637256979942322,0.04578353986430737,entropy,30,16,0.8960308042756182,0.896750396728952,0.8963262660776493,0.8972078859708065,0.8965788382632565,0.00044420358116374257,76,0.9967864455673441,0.9961145061086127,0.9953107203731091,0.9967514983614526,0.9962407926026297,0.0005999041924951479
186,40.2262082695961,1.0584363382446254,0.22489923238754272,0.015695927637631522,entropy,75,7,0.8969076586558394,0.8962690799224174,0.8958401837581789,0.8971983549449345,0.8965538193203425,0.0005317378788060044,77,1.0,1.0,1.0,1.0,1.0,0.0
226,38.461595952510834,0.6769569794539958,0.1881616711616516,0.014095232631888733,entropy,100,7,0.8964168108234329,0.8966932105737201,0.897017265453367,0.8960498663273622,0.8965442882944705,0.0003558752679226677,78,1.0,1.0,1.0,1.0,1.0,0.0
139,52.70137858390808,0.8957553736841111,0.20116597414016724,0.008151652918000536,entropy,45,10,0.8962214247930576,0.8965359486468326,0.8964168108234329,0.8969934378886871,0.8965419055380026,0.00028384570798274536,79,0.9999523447192389,1.0,0.9998220869518253,0.9999952344719238,0.999942416535747,7.190856578249125e-05
211,52.57875037193298,2.0125755733608717,0.20059657096862793,0.0174344186146021,entropy,90,10,0.8954255841327481,0.8970220309663031,0.8967742242936318,0.8969267207075834,0.8965371400250666,0.0006478151328181053,80,1.0,1.0,1.0,1.0,1.0,0.0
138,37.285202860832214,0.745564110829767,0.17984533309936523,0.02461624620102708,entropy,45,7,0.8956781563183553,0.8969410172463913,0.8964263418493049,0.8968409414747356,0.8964716142221968,0.0004970832051846378,81,0.9999841149064129,0.999968229812826,0.9999825263970543,0.999930105588217,0.9999662441761277,2.1762433276773396e-05
